DENOMINAZIONE,INDIRIZZO,COMUNE,LOCALITA,SITO WEB,_INDIRIZZO,Position,APERTO
CASTELLO BUFALINI,Via Largo Cruciani,San Giustino (PG) - 06016, ,http://www.castellobufalini.beniculturali.it/,"Italia, San Giustino (PG) - 06016, Via Largo Cruciani","43.5517952,12.1724518",SI
GALLERIA NAZIONALE DELL'UMBRIA,Corso Pietro Vannucci,Perugia (PG) - 06121, ,http://www.gallerianazionaleumbria.it,"Italia, Perugia (PG) - 06121, Corso Pietro Vannucci","43.1103887,12.3884011",SI
IPOGEO DEI VOLUMNI E NECROPOLI DEL PALAZZONE,Via Assisana - Ponte San Giovanni,Perugia (PG) - 06121, ,http://www.archeopg.arti.beniculturali.it,"Italia, Perugia (PG) - 06121, Via Assisana - Ponte San Giovanni","43.09298709999999,12.4136187",SI
MUSEO ARCHEOLOGICO NAZIONALE DELL'UMBRIA,Piazza Giordano Bruno,Perugia (PG) - 06121, ,http://www.archeopg.arti.beniculturali.it/,"Italia, Perugia (PG) - 06121, Piazza Giordano Bruno","43.1068526,12.3912735",SI
MUSEO ARCHEOLOGICO STATALE E TEATRO ROMANO DI SPOLETO,Via Sant'Agata,Spoleto (PG) - 06049, ,http://www.archeopg.arti.beniculturali.it/,"Italia, Spoleto (PG) - 06049, Via Sant'Agata","42.7305146,12.7344664",SI
MUSEO NAZIONALE DEL DUCATO DI SPOLETO,Piazza Campello,Spoleto (PG) - 06049, ,,"Italia, Spoleto (PG) - 06049, Piazza Campello","42.7340019,12.738882",SI
MUSEO STATALE ARCHEOLOGICO DI ORVIETO,Piazza Duomo,Orvieto (TR) - 05018, ,http://www.archeopg.arti.beniculturali.it,"Italia, Orvieto (TR) - 05018, Piazza Duomo","42.7168056,12.1129861",SI
"NECROPOLI ETRUSCA \""CROCIFISSO DEL TUFO\",Str. Statale 71 - Km 1.6,Orvieto (TR) - 05018,Le Conce,http://www.archeopg.arti.beniculturali.it/canale.asp?id=493,"Italia, Orvieto (TR) - 05018, Str. Statale 71 - Km 1.6","42.7185068,12.1107446",SI
PALAZZO DUCALE,Via della Cattedrale,Gubbio (PG) - 06024, ,,"Italia, Gubbio (PG) - 06024, Via della Cattedrale","43.35451949999999,12.5779698",SI
TEATRO ROMANO,Via del Teatro Romano,Gubbio (PG) - 06024, ,http://www.archeopg.arti.beniculturali.it,"Italia, Gubbio (PG) - 06024, Via del Teatro Romano","43.3532213,12.5740903",SI
TEMPIETTO SUL CLITUNNO,Via del Tempio,Campello sul Clitunno (PG) - 06042, ,,"Italia, Campello sul Clitunno (PG) - 06042, Via del Tempio","42.8391999,12.758968",SI
AREA ARCHEOLOGICA DI FELTRE,Via Tiziano Vecellio,Feltre (BL) - 32032, ,,"Italia, Feltre (BL) - 32032, Via Tiziano Vecellio","45.9886106,11.8433454",SI
BASILICA PALEOCRISTIANA DI CONCORDIA SAGITTARIA,Piazza della Cattedrale,Concordia Sagittaria (VE) - 30023, ,,"Italia, Concordia Sagittaria (VE) - 30023, Piazza della Cattedrale","45.7572285,12.842294",SI
"GALLERIA \""GIORGIO FRANCHETTI\"" ALLA CA' D'ORO",Sestiere di Cannaregio,Venezia (VE) - 30131,Cannaregio,http://www.polomuseale.venezia.beniculturali.it/index.php?it/4/galleria-giorgio-franchetti-alla-ca-doro,"Italia, Venezia (VE) - 30131, Sestiere di Cannaregio","45.44592,12.32051",SI
GALLERIE DELL'ACCADEMIA,Dorsoduro,Venezia (VE) - 30123, ,http://www.polomuseale.venezia.beniculturali.it/,"Italia, Venezia (VE) - 30123, Dorsoduro","45.4308122,12.3339837",SI
MUSEO ARCHEOLOGICO DI QUARTO D'ALTINO,Via S. Eliodoro,Quarto d'Altino (VE) - 30020, ,,"Italia, Quarto d'Altino (VE) - 30020, Via S. Eliodoro","45.54499300000001,12.3987447",SI
MUSEO ARCHEOLOGICO DI VENEZIA,Piazzetta S. Marco,Venezia (VE) - 30100, ,,"Italia, Venezia (VE) - 30100, Piazzetta S. Marco","45.48925,12.25246",SI
MUSEO ARCHEOLOGICO NAZIONALE (BARCHESSA DI VILLA BADOER),Via Giovanni Tasso,Fratta Polesine (RO) - 45025, ,http://www.archeopd.benicuturali.it,"Italia, Fratta Polesine (RO) - 45025, Via Giovanni Tasso","45.0343159,11.6410358",SI
MUSEO ARCHEOLOGICO NAZIONALE CONCORDIESE,Via Seminario,Portogruaro (VE) - 30026, ,,"Italia, Portogruaro (VE) - 30026, Via Seminario","45.7755604,12.8354327",SI
MUSEO ARCHEOLOGICO NAZIONALE DI ADRIA,Via Badini,Adria (RO) - 45011, ,,"Italia, Adria (RO) - 45011, Via Badini","45.0529537,12.0545658",SI
VILLA DEL BENE,"Via Villa del Bene, 2",Dolcè (VR) - 37020, ,http://www.sbap-vr.beniculturali.it,"Italia, Dolcè (VR) - 37020, Via Villa del Bene, 2","45.5447392,10.8197915",SI
MUSEO D'ARTE ORIENTALE,Santa Croce,Venezia (VE) - 30100, ,,"Italia, Venezia (VE) - 30100, Santa Croce","45.4381861,12.3180088",SI
MUSEO DI PALAZZO GRIMANI,"Ramo Grimani, Castello 4858",Venezia (VE) - 30122, ,http://www.palazzogrimani.org/,"Italia, Venezia (VE) - 30122, Ramo Grimani, Castello 4858","45.4402677,12.3542103",SI
MUSEO NAZIONALE ATESTINO,Via Guido Negri,Este (PD) - 35042, ,http://www.atestino.beniculturali.it/,"Italia, Este (PD) - 35042, Via Guido Negri","45.2294092,11.6558012",SI
MUSEO NAZIONALE DI VILLA PISANI,Via Doge Pisani,Stra (VE) - 30039, ,http://www.villapisani.beniculturali.it,"Italia, Stra (VE) - 30039, Via Doge Pisani","45.4077463,12.0093022",SI
